3PM,APG,BPG,FGP,FTP,MPG,PPG,RPG,SPG,TPG,NAME
0.6,1,0.9,49.5,68.8,19.2,9.6,4.9,0.3,1.5,Alex Len
1.8,3.1,0.6,49.9,85.3,35.0,26.8,8.4,1.8,2.1,Kawhi Leonard
1.4,3.7,0.4,47.5,72.1,29.7,18.4,4.3,1.2,2.1,Caris LeVert
3.1,6,0.5,45,88.9,35.2,27.2,5,0.9,2.6,Damian Lillard
1.0,3.1,0.1,50.8,81.7,18.5,10.9,2.4,0.8,2,Jeremy Lin
0.0,2.3,0.6,43.2,76.9,16.4,4.4,2.1,0.6,0.7,Shaun Livingston
0.0,1.9,0.8,61.9,61.7,20.0,6.1,5.2,0.3,0.8,Kevon Looney
2.5,1.2,1.9,42.3,80.6,27.6,11.5,4.1,0.5,1,Brook Lopez
0.1,1,1,53.3,71.4,17.2,5.9,2.3,0.2,1.4,Robin Lopez
1.8,3.5,0.2,32.3,81.8,33.8,19,13.5,0.2,2.5,Kevin Love
2.1,10,0.4,43.6,83.3,34.2,14.2,4.4,1.4,2.8,Kyle Lowry
0.9,1.5,0.5,41.7,68.9,20.7,10,4.7,0.6,1.5,Trey Lyles
1.1,3.2,0.1,42.5,69.2,24.8,8.5,2.1,1,1.3,Shelvin Mack
2.6,1.1,0.9,40.8,80,29.5,16.2,7,1.2,1.6,Lauri Markkanen
2.3,2.4,0.2,41.8,78,30.7,14.3,2.3,0.9,1.2,Wesley Matthews
0.5,0.5,0.2,44.4,40,15.2,5,1.8,0.2,0.5,Luc Mbah a Moute
2.0,2.5,0.4,46.8,83.3,34.2,21.5,3.8,0.8,1.7,CJ McCollum
0.2,3,0.3,56.2,100,18.9,6,1.9,1,1.4,T.J. McConnell
1.3,0.8,0.1,49.7,85.7,17.7,7.3,1.3,0.3,0.4,Doug McDermott
0.0,0.8,2.6,62.6,66.7,23.5,11.8,6.7,0.8,1.6,JaVale McGee
1.6,2.5,0.1,43,77.3,30.8,10.9,4.5,0.8,1.3,Rodney McGruder
0.9,0.4,0.3,48.2,47.4,15.6,6,4,0.2,0.5,Alfonzo McKinnie
0.9,3.1,0.2,38.8,83.3,18.5,6.3,2.5,1.3,1.8,De'Anthony Melton
2.7,4,0.1,41.7,86.3,31.1,17.6,5.9,1.2,2.3,Khris Middleton
1.6,1.6,0.2,41.2,82.4,21.7,6.6,1.4,0.7,0.8,Darius Miller
1.7,2.8,0.2,42.7,84.8,24.5,9.2,2.5,0.6,1.1,Patty Mills
0.9,2,1.1,49.8,72.7,26.8,13.6,7,1.4,1.6,Paul Millsap
2.5,1,0.6,45.2,84.1,30.0,17.4,9.2,0.8,1.2,Nikola Mirotic
2.0,3.3,0.3,41.1,81.4,32.4,20.9,3.2,1.8,2.7,Donovan Mitchell
1.7,1.9,0.3,38.3,88.2,19.3,10.6,1.8,0.6,1.3,Malik Monk
1.5,2.2,0.2,50.2,70.7,29.7,13.7,2.4,0.7,1.2,E'Twaun Moore
